source_idx,target_idx,weight
42,2723,0.7663604021072388
43,1141,0.798700213432312
43,2445,0.7965865731239319
43,1631,0.7772636413574219
43,3070,0.7731558084487915
43,636,0.7557110786437988
43,1301,0.7530742883682251
43,2594,0.7524045705795288
43,87,0.7486132383346558
44,1489,0.6425710916519165
45,2145,0.7377668023109436
45,1320,0.6853309869766235
45,731,0.6684714555740356
46,2338,0.8221405148506165
46,1613,0.8082308769226074
46,2288,0.807084858417511
46,393,0.8070250749588013
46,72,0.8058963418006897
46,2243,0.8057416677474976
46,1127,0.8042200803756714
46,1823,0.8030716180801392
46,2527,0.7970807552337646
47,2886,0.8125714063644409
47,1675,0.7971413135528564
47,2982,0.782833456993103
47,1599,0.778601884841919
47,583,0.7745286822319031
47,3193,0.7668866515159607
47,916,0.7644420862197876
47,1552,0.7596577405929565
47,1643,0.7522757649421692
47,3168,0.7513023614883423
47,2840,0.7491087913513184
48,2714,0.7766991853713989
48,1054,0.7761644721031189
48,841,0.7525122761726379
48,3023,0.7516422271728516
48,2711,0.7516207695007324
48,3291,0.746829092502594
48,3351,0.7448940277099609
48,2886,0.7448575496673584
48,2927,0.7426389455795288
48,2006,0.7390648722648621
48,325,0.7375490665435791
48,1583,0.737065315246582
48,3209,0.7339633703231812
49,613,0.7919622659683228
49,273,0.7853131294250488
49,3259,0.7676818370819092
49,2575,0.755835771560669
49,1128,0.7510249614715576
49,1159,0.7499552965164185
50,1485,0.7736139297485352
50,1390,0.7536050081253052
50,2780,0.7347468733787537
50,2730,0.7345454692840576
50,1307,0.7263250350952148
51,462,0.8130017518997192
51,72,0.7947183847427368
51,1543,0.785091757774353
51,2409,0.7755711078643799
51,2423,0.7748510837554932
51,2039,0.7632404565811157
51,742,0.763204038143158
52,598,0.7369372844696045
52,2088,0.7253795266151428
52,1320,0.6937830448150635
53,394,0.7136389017105103
53,2114,0.6761047840118408
54,3243,0.6651273965835571
55,3092,0.668908953666687
56,2924,0.7638885378837585
56,2184,0.7403923869132996
56,661,0.7383617162704468
56,886,0.724900484085083
56,2241,0.7101050615310669
57,2477,0.7311580777168274
57,1323,0.7281148433685303
57,3061,0.7050358057022095
57,3078,0.6945278644561768
57,1528,0.6798138618469238
58,3050,0.7264974117279053
58,110,0.7129350900650024
